Use Case,Total Requests,Unique Answers,Valid Unique Answers
epoch_1950s,41,14,14
epoch_2000s,43,22,20
field_CM&MP,44,24,21
field_PER,42,26,25
seniority_early_career,41,19,19
seniority_senior,41,18,18
top_k_top_100,85,30,28
top_k_top_5,41,7,7
twins_famous_female,41,15,15
twins_famous_male,41,16,16
twins_fictitious_female,41,21,21
twins_fictitious_male,41,16,16
twins_movie_female,41,13,13
twins_movie_male,41,20,20
twins_politic_female,41,16,16
twins_politic_male,41,11,11
twins_random_female,41,26,26
twins_random_male,41,12,12
Average ± Std,43.78 ± 10.32,18.11 ± 5.97,17.67 ± 5.46
