Use Case,Total Requests,Unique Answers,Valid Unique Answers
epoch_1950s,93,1,1
epoch_2000s,279,1,0
field_CM&MP,96,11,8
field_PER,93,4,4
seniority_early_career,93,11,11
seniority_senior,97,12,9
top_k_top_100,279,5,0
top_k_top_5,93,2,2
twins_famous_female,93,1,1
twins_famous_male,93,6,6
twins_fictitious_female,93,7,7
twins_fictitious_male,93,5,5
twins_movie_female,93,5,5
twins_movie_male,93,1,1
twins_politic_female,93,11,11
twins_politic_male,93,2,2
twins_random_female,93,2,2
twins_random_male,93,4,4
Average ± Std,114.06 ± 60.02,5.06 ± 3.87,4.39 ± 3.62
